run_name;font_size;source_png;boxes_png;gallery_png;symbols_dir;hypotheses_csv;hypotheses_txt;top3_csv;symbol_count;best_text_left_to_right;best_text_right_to_left_no_spaces;expected_text;errors;correct;accuracy_percent
Исходная строка;source_image;results/00_source.png;results/01_symbol_boxes.png;results/02_symbol_gallery.png;results/original_symbols;results/original_hypotheses.csv;results/original_hypotheses.txt;results/original_top3.csv;11;ןתנאבהנאינא;אניאנהבאנתן;אני אוהב אותך;3;8;72.727273
Экспериментальный размер шрифта;68;results/10_experiment_source.png;results/11_experiment_symbol_boxes.png;results/12_experiment_symbol_gallery.png;results/experiment_symbols;results/experiment_hypotheses.csv;results/experiment_hypotheses.txt;results/experiment_top3.csv;11;ךתובהוינאאא;אאאניוהבותך;אני אוהב אותך;7;4;36.363636
