index;expected_symbol_lr;best_symbol;best_similarity;second_symbol;second_similarity;third_symbol;third_similarity
1;ך;ך;0.832492;ן;0.692479;ר;0.640856
2;ת;ת;0.850871;ח;0.815916;ה;0.739349
3;ו;ו;0.817263;ן;0.709358;ך;0.701313
4;א;ב;0.871233;צ;0.777243;כ;0.761746
5;ב;ה;0.852275;ח;0.821158;ת;0.763357
6;ה;ו;0.817263;ן;0.709358;ך;0.701313
7;ו;י;0.898083;ו;0.654743;ר;0.645305
8;א;נ;0.805748;ן;0.662268;כ;0.653232
9;י;א;0.863961;ע;0.816135;ט;0.807239
10;נ;א;0.863961;ע;0.816135;ט;0.807239
11;א;א;0.863961;ע;0.816135;ט;0.807239
