image,source_file,width,height,gx_min,gx_max,gy_min,gy_max,g_min,g_max,display_threshold,threshold,threshold_rule,edge_pixels,edge_percent,source_path,gray_path,gx_path,gy_path,gradient_path,gradient_inverted_path,direction_path,binary_path
palmer,palmer.jpg,1110,740,-721.28,708.33,-683.39,695.29,0.00,721.61,40.00,113.19,manual,34268,4.17,results/palmer/00_source.png,results/palmer/01_grayscale.png,results/palmer/02_gx.png,results/palmer/03_gy.png,results/palmer/04_gradient.png,results/palmer/05_gradient_inverted.png,results/palmer/06_direction.png,results/palmer/07_binary_gradient.png
zhest,zhest.png,400,533,-519.49,669.36,-667.28,697.92,0.00,697.93,50.00,136.85,manual,29852,14.00,results/zhest/00_source.png,results/zhest/01_grayscale.png,results/zhest/02_gx.png,results/zhest/03_gy.png,results/zhest/04_gradient.png,results/zhest/05_gradient_inverted.png,results/zhest/06_direction.png,results/zhest/07_binary_gradient.png
