image_id;title;kind;source_color_file;source_l_file;enhanced_color_file;enhanced_l_file;hist_before_file;hist_after_file;glcm_before_file;glcm_after_file;panel_file;con_before;lun_before;con_after;lun_after;delta_con;delta_lun
01_manuscript;Летопись;text;results/01_manuscript_00_source_color.png;results/01_manuscript_01_source_l.png;results/01_manuscript_02_enhanced_color.png;results/01_manuscript_03_enhanced_l.png;results/01_manuscript_04_hist_before.png;results/01_manuscript_05_hist_after.png;results/01_manuscript_06_glcm_before.png;results/01_manuscript_07_glcm_after.png;results/01_manuscript_08_panel.png;41.900267;0.222767;417.735041;0.163753;375.834774;-0.059014
02_rally;Subaru;photo;results/02_rally_00_source_color.png;results/02_rally_01_source_l.png;results/02_rally_02_enhanced_color.png;results/02_rally_03_enhanced_l.png;results/02_rally_04_hist_before.png;results/02_rally_05_hist_after.png;results/02_rally_06_glcm_before.png;results/02_rally_07_glcm_after.png;results/02_rally_08_panel.png;168.695130;0.381048;244.063897;0.371725;75.368767;-0.009323
03_football;Палмер;photo;results/03_football_00_source_color.png;results/03_football_01_source_l.png;results/03_football_02_enhanced_color.png;results/03_football_03_enhanced_l.png;results/03_football_04_hist_before.png;results/03_football_05_hist_after.png;results/03_football_06_glcm_before.png;results/03_football_07_glcm_after.png;results/03_football_08_panel.png;209.361624;0.214777;514.459225;0.187403;305.097601;-0.027374
