index,start_seconds,end_seconds,duration_seconds
1,1.370,1.870,0.500
2,2.140,2.640,0.500
3,3.180,3.670,0.490
4,4.060,4.480,0.420
5,5.150,5.450,0.300
6,6.130,6.550,0.420
7,7.120,7.580,0.460
8,8.170,8.780,0.610
9,9.220,9.690,0.470
10,10.220,10.740,0.520
11,11.310,11.930,0.620
12,12.420,12.780,0.360
